//TODO: switch day and month right now its month/day/year
11/13/2023, 15:11:56, 192.168.200.174, hotfix/upload-logo-match-env, Success, , 3m26.436s
11/14/2023, 11:59:14, 192.168.200.143, story/cherry-picking-the-missing-match-rp-changes-ah, Success, , 3m41.190s
11/14/2023, 12:20:46, 192.168.200.143, story/cherry-picking-the-missing-match-rp-changes-ah, Success, , 3m28.904s
11/15/2023, 15:28:43, 192.168.200.143, bug/remove-job-post-modal-footer-for-rp-users-ah, Success, , 3m27.548s
11/16/2023, 10:33:44, 192.168.200.143, bug/fixing-rp-edit-access-on-partner-companies-ah, Success, , 5m23.841s
11/17/2023, 12:49:55, 192.168.200.233, story/fix-profile-rp-overview, Success, , 3m37.089s
11/21/2023, 11:27:06, 192.168.200.143, bug/fixing-save-as-recruitment-on-recruitment-overview-ah, Success, , 3m50.000s
11/22/2023, 09:18:50, 192.168.200.143, bug/fixing-the-recruitment-single-view-for-partners-ah, Success, , 4m4.233s
11/27/2023, 11:11:11, 10.212.134.2, bug/fixing-lang-keys-in-recruitment-activity-log-tab-ah, Success, , 4m7.279s
11/28/2023, 12:33:22, 10.212.134.1, bug/fixing-the-add-candidate-to-company-board-ah, Success, , 3m53.707s
11/28/2023, 17:06:06, 10.212.134.3, bug/job-post-video-fix, Success, , 3m58.253s
11/29/2023, 10:03:42, 10.212.134.2, hotfix/fixing-match-remote-preference-keys-ah, Success, , 4m2.020s
11/29/2023, 14:53:35, 10.212.134.2, bug/fixing-rp-navigation-to-job-post-ah_866b1ke3m, Success, , 4m6.960s
12/01/2023, 10:18:55, 192.168.200.236, bug/match-bugs-amalgamation, Success, , 4m14.397s
12/01/2023, 13:06:57, 192.168.200.143, story/merge-main-01-12-2023, Success, No Changes, 3m50.077s
12/05/2023, 10:42:32, 10.212.134.3, bug/fixing-the-add-candidate-to-company-board-ah, Success, , 4m4.200s
12/05/2023, 13:32:36, 10.212.134.3, story/merge-main-into-feature-match-v2-05-12-23, Success, , 4m14.411s
12/05/2023, 14:35:27, 10.212.134.2, story/expanding-activity-log, Success, , 4m9.606s
12/05/2023, 15:26:54, 10.212.134.3, bug/show-company-is-public, Success, , 4m13.387s
12/06/2023, 13:42:38, 10.212.134.3, bug/fixing-localization-in-recruitment-partner-modules-ah, Success, , 4m2.554s
